iter	RMSE
0	0.07262126343
1	0.06966837216
2	0.06683679722
3	0.06435930897
4	0.06197640648
5	0.05997282092
6	0.05780426549
7	0.05609261185
8	0.05451432851
9	0.05298784066
10	0.0517006926
11	0.05051073545
12	0.04943875036
13	0.04853372523
14	0.04761767056
15	0.0468269545
16	0.0460550791
17	0.04538675
18	0.04467477144
19	0.04413401543
20	0.04349284602
21	0.04292779989
22	0.04239821806
23	0.04212457572
24	0.04185149251
25	0.04150191014
26	0.04112471008
27	0.04080188386
28	0.04060273634
29	0.04034823919
30	0.03995856489
31	0.03980809781
32	0.03952134633
33	0.0393255545
34	0.0390222963
35	0.03885448175
36	0.03870301241
37	0.03855513266
38	0.03843582752
39	0.0382971056
40	0.03813268907
41	0.0379952755
42	0.03773529851
43	0.03761799197
44	0.03752417553
45	0.03743368932
46	0.03737439733
47	0.03723372914
48	0.03717012947
49	0.03710019743
50	0.03702593192
51	0.03695827836
52	0.03686252166
53	0.03678636334
54	0.03672364969
55	0.03669670249
56	0.03666334514
57	0.03662575675
58	0.03658963218
59	0.03652133082
60	0.03648606744
61	0.03639963819
62	0.03637570296
63	0.0363588403
64	0.03629016193
65	0.03627970849
66	0.03622163715
67	0.03617923865
68	0.0361432337
69	0.0361096658
70	0.03600721048
71	0.0358745712
72	0.035849895
73	0.03579940082
74	0.03574368233
75	0.03573248871
76	0.03565503091
77	0.03560556267
78	0.03557907172
79	0.03554495612
80	0.03550970641
81	0.03547383103
82	0.03545304434
83	0.03542047888
84	0.03539524772
85	0.03537506951
86	0.03529708497
87	0.03527206544
88	0.03519728847
89	0.0351879711
90	0.03514974408
91	0.03512187178
92	0.03509141906
93	0.03504948792
94	0.03501045834
95	0.03498279412
96	0.03497533902
97	0.03493432031
98	0.03492382431
99	0.03485950083
100	0.03485595896
101	0.03475180954
102	0.03474334896
103	0.03473414168
104	0.03472702337
105	0.03468517343
106	0.0346356914
107	0.0345549699
108	0.03450814481
109	0.0344986428
110	0.03446753049
111	0.03441638016
112	0.0344013566
113	0.03438990499
114	0.03436411851
115	0.03432394825
116	0.0343110698
117	0.03429910682
118	0.03428552902
119	0.03422724258
120	0.03418878369
121	0.03418821121
122	0.03417495443
123	0.03417495443
124	0.03415455193
125	0.03410376554
126	0.03408210391
127	0.03407494784
128	0.03405508154
129	0.03404378982
130	0.0340424435
131	0.03400543547
132	0.03397462911
133	0.03385639871
134	0.03378497215
135	0.03373210406
136	0.03359892943
137	0.03349895606
138	0.03349743626
139	0.03341651398
140	0.03338914201
141	0.03335959575
142	0.03329407086
143	0.03328802786
144	0.03321935363
145	0.03316048809
146	0.03315469607
147	0.033154188
148	0.03312348894
149	0.03302155677
150	0.0329764375
151	0.03293441651
152	0.03288674267
153	0.03287678199
154	0.0328245608
155	0.032782229
156	0.03270870185
157	0.03270817722
158	0.03264179763
159	0.03263403451
160	0.03256904243
161	0.03251253273
162	0.03251146028
163	0.03251084958
164	0.03249336938
165	0.03241128576
166	0.03236876384
167	0.03235861406
168	0.03234050846
169	0.03231025025
170	0.03229102386
171	0.03225256462
172	0.03219860539
173	0.03214294063
